,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
74,37.73856,-122.41687,Apartment,Private room,1.0,1.0,2,90.0
75,37.80318,-122.42977,Apartment,Entire home/apt,1.0,1.0,5,150.0
76,37.77311,-122.44979,Guest suite,Entire home/apt,1.0,1.0,2,138.0
77,37.74557,-122.41187,Apartment,Private room,1.0,1.0,6,80.0
78,37.8034,-122.40485,Condominium,Entire home/apt,1.0,1.0,30,182.0
79,37.77756,-122.43326,Apartment,Entire home/apt,1.5,1.0,30,136.0
80,37.79507,-122.40498,House,Shared room,1.0,1.0,30,30.0
81,37.79466,-122.40523,House,Shared room,1.0,1.0,30,30.0
82,37.79291,-122.40637,House,Shared room,1.0,1.0,30,30.0
83,37.74446,-122.43776,House,Entire home/apt,1.0,3.0,2,295.0
84,37.78265,-122.48971,Apartment,Private room,1.0,1.0,30,79.0
85,37.80242,-122.4144,Guest suite,Entire home/apt,1.0,1.0,3,165.0
86,37.77118,-122.44963,House,Private room,1.0,1.0,1,92.0
87,37.75551,-122.40882,Condominium,Entire home/apt,2.0,2.0,5,178.0
88,37.77108,-122.44942,House,Private room,1.0,1.0,1,98.0
89,37.77085,-122.44811,House,Private room,1.0,1.0,1,78.0
90,37.76146,-122.43817,Apartment,Entire home/apt,2.0,3.0,30,325.0
91,37.74382,-122.41773,House,Entire home/apt,1.0,1.0,5,147.0
92,37.72652,-122.43468,House,Private room,1.0,1.0,2,75.0
93,37.77042,-122.45019,House,Private room,1.0,1.0,1,78.0
94,37.75632,-122.40478,House,Entire home/apt,1.0,1.0,2,145.0
95,37.7684,-122.43086,Apartment,Private room,1.0,1.0,3,99.0
96,37.79341,-122.4034,Hostel,Shared room,1.0,1.0,1,45.0
97,37.73819,-122.41566,Apartment,Entire home/apt,1.0,1.0,30,135.0
98,37.80301,-122.41581,Condominium,Private room,1.0,1.0,2,99.0
99,37.74174,-122.50435,Guest suite,Entire home/apt,1.0,1.0,3,135.0
100,37.79271,-122.40383,Hostel,Shared room,1.0,1.0,1,45.0
101,37.77499,-122.40635,Apartment,Entire home/apt,1.0,1.0,3,160.0
102,37.78304,-122.41942,Condominium,Entire home/apt,1.0,1.0,30,136.0
103,37.77579,-122.45504,Guest suite,Private room,1.0,1.0,2,100.0
104,37.80134,-122.40714,Apartment,Private room,1.0,1.0,2,89.0
105,37.7947,-122.40374,Hostel,Shared room,1.0,1.0,1,45.0
106,37.79441,-122.40473,Hostel,Shared room,1.0,1.0,1,45.0
107,37.78322,-122.42025,Condominium,Entire home/apt,1.0,0.0,30,138.0
108,37.76294,-122.43974,Apartment,Private room,1.0,1.0,2,115.0
109,37.77899,-122.40506,Condominium,Entire home/apt,1.0,1.0,30,133.0
110,37.75553,-122.50707,Apartment,Shared room,1.0,1.0,30,35.0
111,37.75612,-122.39967,Condominium,Entire home/apt,2.0,2.0,4,325.0
112,37.75346,-122.50358,House,Private room,1.0,1.0,3,89.0
113,37.76833,-122.42592,Apartment,Private room,1.0,1.0,2,97.0
114,37.76288,-122.43815,Condominium,Entire home/apt,2.0,2.0,30,210.0
115,37.76275,-122.44252,Condominium,Entire home/apt,2.0,3.0,4,475.0
116,37.73225,-122.43614,House,Entire home/apt,2.0,2.0,3,300.0
117,37.75971,-122.38833,Apartment,Entire home/apt,1.0,1.0,2,190.0
118,37.73096,-122.42378,House,Private room,1.0,1.0,30,45.0
119,37.7303,-122.42464,House,Private room,1.0,1.0,30,30.0
120,37.79026,-122.4364,House,Entire home/apt,2.5,3.0,7,325.0
121,37.72606,-122.43232,House,Private room,0.5,1.0,2,48.0
122,37.78633,-122.43217,Apartment,Entire home/apt,1.0,1.0,30,139.0
123,37.78278,-122.39337,Loft,Entire home/apt,1.0,1.0,30,250.0
124,37.76295,-122.44259,Cottage,Private room,1.0,1.0,3,99.0
125,37.78525,-122.43051,Apartment,Private room,1.0,1.0,30,99.0
126,37.72836,-122.44797,House,Private room,1.0,1.0,1,95.0
127,37.74271,-122.41955,Condominium,Entire home/apt,1.0,1.0,2,160.0
128,37.77307,-122.44293,Guest suite,Entire home/apt,1.0,1.0,3,190.0
129,37.75711,-122.40963,House,Private room,1.0,1.0,30,83.0
130,37.72965,-122.42539,House,Private room,1.0,1.0,30,40.0
131,37.73019,-122.42317,House,Private room,1.0,1.0,30,45.0
132,37.77093,-122.42823,Condominium,Private room,1.0,1.0,4,90.0
133,37.76079,-122.43447,Apartment,Entire home/apt,1.0,2.0,30,270.0
134,37.72636,-122.43342,Apartment,Private room,1.0,1.0,30,85.0
135,37.7586,-122.43332,Apartment,Private room,1.0,1.0,2,95.0
136,37.75131,-122.40795,House,Private room,1.0,1.0,3,70.0
137,37.76648,-122.44542,Guest suite,Entire home/apt,1.0,1.0,3,130.0
138,37.74587,-122.41626,House,Entire home/apt,2.5,3.0,4,390.0
139,37.74498,-122.41927,House,Private room,1.0,1.0,3,102.0
140,37.74248,-122.41069,Apartment,Entire home/apt,1.0,0.0,6,149.0
141,37.72042,-122.46914,House,Private room,1.0,1.0,30,60.0
142,37.79363,-122.42493,Apartment,Entire home/apt,1.0,1.0,30,130.0
143,37.76318,-122.40708,Apartment,Private room,1.0,1.0,3,99.0
144,37.75906,-122.40761,Apartment,Private room,1.0,1.0,31,68.0
145,37.78135,-122.48266,Apartment,Entire home/apt,1.0,1.0,3,140.0
146,37.79418,-122.40582,House,Shared room,1.0,1.0,30,30.0
147,37.79455,-122.406,House,Shared room,1.0,1.0,30,30.0
148,37.79478,-122.40592,House,Shared room,1.0,1.0,30,30.0
149,37.75941,-122.43363,Condominium,Private room,1.0,1.0,1,109.0
150,37.75925,-122.50893,House,Entire home/apt,2.0,2.0,4,324.0
151,37.75385,-122.50806,Apartment,Private room,1.0,1.0,30,57.0
152,37.77346,-122.42917,House,Private room,1.0,1.0,1,89.0
153,37.78101,-122.44083,House,Entire home/apt,1.5,3.0,3,425.0
154,37.72594,-122.43327,Condominium,Entire home/apt,2.0,2.0,6,225.0
