,bedrooms,room_type_Private room,bathrooms,room_type_Shared room,latitude,property_type_House,minimum_nights,longitude,predicted,price,off,new_price
5775,1.0,0,1.0,0,37.77754,0,30,-122.41348,160.0128663700318,159.0,False,159.0
5776,1.0,0,1.0,0,37.77327,0,30,-122.39802,168.72487931592926,166.0,False,166.0
5777,1.0,0,1.0,0,37.78931,0,30,-122.39339,177.65429240449998,175.0,False,175.0
5778,1.0,0,1.0,0,37.78812,0,30,-122.39084,177.3092348606346,161.0,False,161.0
5779,1.0,0,1.0,0,37.77919,0,30,-122.41416,155.6967794383414,151.0,False,151.0
5780,1.0,0,1.0,0,37.77737,0,30,-122.41463,159.7232826400306,159.0,False,159.0
5781,1.0,0,1.5,0,37.77281,0,30,-122.39616,178.36882907531782,152.0,True,178.36882907531782
5782,1.0,0,1.0,0,37.79983,0,30,-122.42457,174.1203006018786,170.0,False,170.0
5783,2.0,0,2.0,0,37.7764,0,30,-122.41416,236.5393915366434,223.0,False,223.0
5784,1.0,0,1.0,0,37.76283,0,30,-122.41818,154.37270404148902,143.0,False,143.0
5785,1.0,0,1.0,0,37.77903,0,30,-122.41387,157.08002064505135,151.0,False,151.0
5786,1.0,0,1.0,0,37.80014,0,30,-122.42633,176.39503517705543,184.0,False,184.0
5787,1.0,0,1.5,0,37.77306,0,30,-122.39596,178.57667347799122,161.0,False,161.0
5788,1.0,0,1.0,0,37.77376,0,30,-122.392,172.6689737623355,174.0,False,174.0
5789,1.0,0,1.0,0,37.77372,0,30,-122.39151,175.0944368349191,192.0,False,192.0
5790,2.0,0,2.0,0,37.77454,0,30,-122.39017,246.04104429772707,240.0,False,240.0
5791,1.0,0,1.0,0,37.77753,0,30,-122.4151,159.01627988851834,152.0,False,152.0
5792,1.0,0,1.0,0,37.80038,0,30,-122.42609,178.12999984644404,184.0,False,184.0
5793,1.0,0,1.0,0,37.77316,0,30,-122.39613,164.7538394373812,137.0,True,164.7538394373812
5794,1.0,0,1.0,0,37.80031,0,30,-122.42589,186.27293942259047,170.0,False,170.0
5795,1.0,0,1.0,0,37.80061,0,30,-122.42483,172.8221063979344,170.0,False,170.0
5796,1.0,0,1.0,0,37.79996,0,30,-122.4252,175.82862352702472,170.0,False,170.0
5797,1.0,0,1.0,0,37.80039,0,30,-122.42457,172.48750851433653,170.0,False,170.0
5798,1.0,0,1.0,0,37.77102,0,30,-122.42686,165.98219921534834,175.0,False,175.0
5799,1.0,0,1.0,0,37.78729,0,30,-122.39239,168.41093892216492,149.0,False,149.0
5800,1.0,0,1.0,0,37.78687,0,30,-122.3916,171.6998266526205,223.0,True,171.6998266526205
5801,1.0,0,1.0,0,37.77239,0,30,-122.39003,169.33458074743442,180.0,False,180.0
5802,1.0,0,1.0,0,37.78774,0,30,-122.42059,156.1684697942439,147.0,False,147.0
5803,1.0,0,1.0,0,37.77251,0,30,-122.39125,168.73427667532607,164.0,False,164.0
5804,1.0,0,1.0,0,37.77637,0,30,-122.4156,160.17038395019995,176.0,False,176.0
5805,1.0,0,1.0,0,37.7743,0,30,-122.39039,167.22397645467225,177.0,False,177.0
5806,1.0,0,1.0,0,37.77731,0,30,-122.41319,162.0420602922725,157.0,False,157.0
5807,1.0,0,1.0,0,37.77741,0,30,-122.41374,158.7040212012379,155.0,False,155.0
5808,1.0,0,1.0,0,37.76433,0,30,-122.4169,160.3574885003215,153.0,False,153.0
5809,1.0,0,1.0,0,37.78767,0,30,-122.39407,172.9409312590915,165.0,False,165.0
5810,1.0,0,1.0,0,37.7958,0,30,-122.39735,171.20928086760654,165.0,False,165.0
5811,1.0,0,1.0,0,37.77038,0,30,-122.42589,172.1763738939476,193.0,False,193.0
5812,1.0,0,1.0,0,37.77773,0,30,-122.41495,159.98748857812623,153.0,False,153.0
5813,1.0,0,1.0,0,37.77619,0,30,-122.41462,160.10771042066634,199.0,True,160.10771042066634
5814,1.0,0,1.0,0,37.77038,0,30,-122.42538,170.633033949199,184.0,False,184.0
5815,1.0,0,1.0,0,37.76276,0,30,-122.41661,152.75864552901385,134.0,False,134.0
5816,1.0,0,1.0,0,37.77875,0,30,-122.41354,157.46942699254032,152.0,False,152.0
5817,2.0,0,2.0,0,37.78709,0,30,-122.39126,265.92353946259925,229.0,True,265.92353946259925
5818,1.0,0,1.0,0,37.77296,0,30,-122.39632,165.47358150087322,155.0,False,155.0
5819,1.0,0,1.0,0,37.78737,0,30,-122.39253,168.25628799733218,150.0,False,150.0
5820,1.0,0,1.0,0,37.77362,0,30,-122.3977,171.37823694360213,162.0,False,162.0
5821,1.0,0,1.0,0,37.78826,0,30,-122.42014,157.85686985244445,148.0,False,148.0
5822,0.0,0,1.0,0,37.78745,0,30,-122.39239,144.61166672551997,181.0,True,144.61166672551997
5823,1.0,0,1.0,0,37.77107,0,30,-122.42687,163.16565864941262,145.0,False,145.0
5824,1.0,1,1.0,0,37.78134,0,30,-122.41085,68.99143201511,50.0,False,50.0
5825,3.0,0,2.0,0,37.76712,0,30,-122.43307,329.7772749700746,147.0,True,329.7772749700746
