,latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
0,37.76931,-122.43386,Apartment,Entire home/apt,1.0,1.0,1,170.0
1,37.75402,-122.45805,House,Private room,1.0,1.0,1,99.0
2,37.74511,-122.42102,Apartment,Entire home/apt,1.0,2.0,30,235.0
3,37.76669,-122.4525,Apartment,Private room,1.0,1.0,32,65.0
4,37.76487,-122.45183,Apartment,Private room,1.0,1.0,32,65.0
5,37.77525,-122.43637,House,Entire home/apt,1.5,2.0,6,875.0
6,37.75919,-122.42237,Condominium,Private room,1.0,1.0,1,139.0
7,37.76259,-122.40543,House,Private room,1.0,1.0,1,135.0
8,37.75874,-122.41327,House,Entire home/apt,1.0,2.0,30,225.0
9,37.79143,-122.41544,Apartment,Entire home/apt,1.0,0.0,30,120.0
10,37.77187,-122.43859,Apartment,Entire home/apt,1.0,3.0,30,177.0
11,37.77355,-122.42436,Apartment,Entire home/apt,2.0,3.0,30,194.0
12,37.78574,-122.40798,Apartment,Entire home/apt,1.5,1.0,30,139.0
13,37.77019,-122.44594,Apartment,Private room,1.0,1.0,32,85.0
14,37.76894,-122.44778,Apartment,Private room,1.0,1.0,32,85.0
15,37.76075,-122.43032,Apartment,Private room,1.0,1.0,3,79.0
16,37.76203,-122.45455,Townhouse,Entire home/apt,1.0,2.0,30,122.0
17,37.75491,-122.42246,Apartment,Entire home/apt,1.0,1.0,3,215.0
18,37.78647,-122.39072,Condominium,Entire home/apt,2.0,2.0,90,450.0
19,37.74888,-122.42982,Apartment,Entire home/apt,1.0,0.0,30,107.0
20,37.77252,-122.43216,Townhouse,Private room,1.0,1.0,2,110.0
21,37.7958,-122.41533,Loft,Entire home/apt,1.0,1.0,30,125.0
22,37.7648,-122.45251,Apartment,Private room,1.0,1.0,32,65.0
23,37.75963,-122.44143,House,Entire home/apt,1.0,1.0,3,155.0
24,37.74885,-122.43673,Apartment,Entire home/apt,1.0,1.0,3,180.0
25,37.75645,-122.3991,Apartment,Private room,1.0,1.0,2,155.0
26,37.77162,-122.43836,Apartment,Private room,1.0,1.0,1,79.0
27,37.78716,-122.43386,Guest suite,Entire home/apt,1.0,1.0,5,195.0
28,37.74188,-122.43122,House,Private room,1.0,1.0,5,150.0
29,37.77729,-122.43421,Townhouse,Private room,1.0,1.0,3,110.0
30,37.76212,-122.39541,House,Private room,1.0,1.0,4,125.0
31,37.77478,-122.4315,Apartment,Entire home/apt,2.0,4.0,2,450.0
32,37.76298,-122.43136,Apartment,Entire home/apt,1.0,1.0,30,125.0
33,37.76098,-122.42158,Condominium,Private room,1.0,1.0,1,199.0
